Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,Quantity (g)
Kale,"High in Vitamins A, C, K","1 cup, chopped",Ancient Greece,49,4.3,3.6,93.4,1770,150
Blueberries,High in Antioxidants,1 cup,North America,84,1.1,3.6,14.4,9621,240
Salmon,Rich in Omega-3 Fatty Acids,3 oz,North Pacific Ocean,208,22.1,0.0,0.0,689,85
Garlic,Contains Allicin,1 clove,Central Asia,4,0.2,0.1,0.9,5708,5
Spinach,High in Iron and Folate,"1 cup, raw",Ancient Persia,23,2.9,2.2,28.1,1515,240
Almonds,Good Source of Vitamin E,1 oz (23 nuts),Middle East,164,6.0,3.5,0.0,4454,28
Broccoli,High in Vitamin C and K,"1 cup, chopped",Italy,31,2.5,2.4,81.2,1510,150
Avocado,Rich in Healthy Fats,1 medium,Central America,320,4.0,13.5,10.0,1922,182
Quinoa,Complete Protein Source,"1 cup, cooked",South America,222,8.1,5.2,0.0,1808,250
Lentils,High in Protein and Fiber,"1 cup, cooked",Middle East,230,17.9,15.6,2.1,7282,250
Sweet Potato,Rich in Beta-Carotene,1 medium,Central/South America,103,2.3,3.8,22.3,14187,182
Green Tea,High in Catechins,"1 cup, brewed",China,2,0.5,0.0,0.0,1253,240
Turmeric,Contains Curcumin,"1 tsp, ground",India,9,0.3,0.7,0.5,127068,5
Eggs,Complete Protein Source,1 large,Worldwide,72,6.3,0.0,0.0,705,200
Chia Seeds,High in Omega-3 and Fiber,1 oz,Central America,138,4.7,10.6,0.1,8983,28
Greek Yogurt,High in Protein and Probiotics,6 oz,Greece,100,17.3,0.0,0.0,1050,170
Pomegranate,Rich in Antioxidants,1 medium,Middle East,234,4.7,11.3,28.8,10500,182
Walnuts,Good Source of Omega-3,1 oz (14 halves),Ancient Persia,185,4.3,1.9,0.4,13541,28
Ginger,Anti-inflammatory Properties,"1 tbsp, grated",Southeast Asia,4,0.1,0.2,0.7,14840,6
Olive Oil,Rich in Monounsaturated Fats,1 tbsp,Mediterranean Region,119,0.0,0.0,0.0,1150,14
Beets,High in Nitrates,"1 cup, raw",Mediterranean Region,58,2.2,3.8,6.7,1776,240
Sardines,Rich in Omega-3 and Vitamin D,"3.75 oz, canned",Mediterranean Sea,191,22.7,0.0,0.0,1328,106
Mushrooms,Good Source of Selenium,"1 cup, raw",Worldwide,15,2.2,1.0,2.8,692,240
Tomatoes,High in Lycopene,1 medium,South America,22,1.1,1.5,15.6,1595,182
Oats,Rich in Beta-Glucan,"1 cup, cooked",Europe,166,5.9,4.0,0.0,1606,250
Flaxseeds,High in Lignans,"1 tbsp, ground",Middle East,37,1.3,1.9,0.1,8983,5
Brussels Sprouts,High in Vitamin K,"1 cup, cooked",Ancient Rome,56,4.0,4.1,96.7,980,250
Pumpkin Seeds,Rich in Magnesium,1 oz,North America,151,7.0,1.7,0.5,2500,28
Black Beans,High in Fiber and Protein,"1 cup, cooked",South America,227,15.2,15.0,0.0,8494,250
Green Peas,Good Source of Vitamin K,"1 cup, cooked",Mediterranean Region,134,8.6,8.8,13.7,1754,250
Asparagus,High in Folate,"1 cup, cooked",Eastern Mediterranean,27,2.9,2.8,12.3,2021,250
Blackberries,Rich in Antioxidants,1 cup,Worldwide,62,2.0,7.6,30.2,5905,240
Wild Rice,High in Protein and Fiber,"1 cup, cooked",North America,166,6.5,3.0,0.0,1506,250
Seaweed,Rich in Iodine,"1 sheet, nori",Japan,1,0.1,0.3,0.7,3300,3
Cauliflower,"Low in Calories, High in Nutrients","1 cup, raw",Cyprus,25,2.0,2.5,48.2,1058,240
Coconut Oil,Contains Medium-Chain Triglycerides,1 tbsp,Southeast Asia,121,0.0,0.0,0.0,0,14
Red Bell Peppers,High in Vitamin C,"1 cup, chopped",Central/South America,46,1.5,3.1,190.0,1558,150
Watercress,High in Vitamin K,"1 cup, chopped",Europe,4,0.8,0.2,14.6,1785,150
